"GEOID";"Mean income (dollar)";"Median income (dollar)"
"26163500100";57225;44960
"26163500200";70939;51723
"26163500300";64539;41563
"26163500400";32840;32579
"26163500500";50474;46417
"26163500600";54753;44784
"26163500700";46376;48580
"26163500800";46743;31065
"26163500900";44918;29531
"26163501000";48032;34292
"26163501100";38513;37754
"26163501200";33116;27847
"26163501300";61491;48750
"26163501400";83793;55809
"26163501500";54930;34905
"26163501600";42910;22376
"26163501700";44349;33487
"26163501800";86779;66547
"26163501900";57230;45926
"26163502000";48320;38304
"26163502600";40664;30958
"26163502700";37311;30586
"26163503100";55616;44708
"26163503200";51169;50747
"26163503300";43350;40920
"26163503400";49547;36042
"26163503500";52058;55591
"26163503600";42650;37353
"26163503900";61440;NA
"26163504000";42693;36190
"26163504100";47163;37784
"26163504200";40938;23702
"26163504300";63637;45417
"26163504400";34289;26471
"26163505100";36328;24954
"26163505200";45472;35175
"26163505400";47319;35329
"26163505600";49838;37909
"26163505700";43097;36712
"26163505800";43634;35525
"26163506100";50136;38929
"26163506200";61684;29349
"26163506300";32583;25938
"26163506400";32659;26019
"26163506500";42357;38393
"26163506600";53931;47770
"26163506700";49220;34286
"26163506800";49656;46250
"26163506900";45994;36429
"26163507000";47301;30179
"26163507100";34618;21597
"26163507200";53093;43042
"26163507300";54766;44475
"26163507400";45252;38876
"26163507500";56681;31053
"26163508000";18163;12609
"26163508100";49663;35000
"26163509000";64510;48281
"26163509100";57600;51520
"26163510600";45329;28779
"26163511200";34685;NA
"26163511300";40112;31705
"26163511400";52007;34306
"26163511900";52211;15662
"26163512800";29942;17153
"26163513200";54773;40147
"26163513300";90120;66184
"26163513700";84588;67736
"26163513800";35511;34188
"26163513900";60046;37667
"26163514100";38147;25600
"26163514200";59998;NA
"26163514300";32011;23622
"26163514500";37416;32273
"26163515200";34896;20256
"26163515300";45480;20179
"26163515400";138944;115167
"26163515700";50313;23735
"26163516000";53017;36365
"26163516400";73930;56490
"26163516500";111820;91510
"26163516600";44465;39760
"26163516700";56299;34058
"26163516800";49812;NA
"26163516900";46138;28998
"26163517000";80003;61607
"26163517100";78288;53260
"26163517200";136603;84500
"26163517300";87627;36071
"26163517500";51451;15719
"26163518000";70546;38438
"26163518900";36741;28813
"26163519000";54080;45227
"26163519100";49449;36250
"26163519200";41151;30781
"26163519300";59906;52917
"26163520200";50532;32059
"26163520300";63923;41912
"26163520400";68801;21912
"26163520700";69683;60919
"26163520800";155775;88281
"26163521100";62304;41491
"26163521400";85045;50179
"26163521500";45727;35938
"26163521800";35277;18133
"26163521900";73806;35673
"26163522000";26298;19758
"26163522300";17970;11912
"26163522400";62980;NA
"26163522500";29987;18319
"26163522800";67754;24076
"26163523100";29732;13158
"26163523200";44769;36131
"26163523300";70937;49821
"26163523400";85476;41331
"26163523800";52019;37223
"26163524001";55037;50032
"26163524101";37132;27380
"26163524200";58518;40986
"26163524300";50700;45610
"26163524500";37034;19375
"26163524600";26722;17774
"26163524700";49143;45051
"26163524800";67275;49868
"26163525400";43980;36685
"26163525700";46638;42894
"26163525800";49579;38158
"26163525900";43106;34352
"26163526000";41156;35981
"26163526100";43500;26400
"26163526200";40405;38676
"26163526300";49395;42398
"26163526400";77380;41010
"26163526500";32979;NA
"26163527900";36358;22784
"26163530100";33724;17026
"26163530200";58995;44427
"26163530300";46853;24211
"26163530400";50074;22993
"26163530500";46827;43805
"26163530800";30049;NA
"26163530900";37323;22462
"26163531100";23668;14671
"26163531200";117398;100547
"26163531300";33759;23837
"26163531400";52596;35929
"26163531501";29045;25508
"26163531502";39987;NA
"26163531600";47441;35938
"26163531700";29435;16950
"26163531800";42029;29167
"26163531900";45603;36414
"26163532100";83981;66618
"26163532400";42039;27997
"26163532600";50236;45034
"26163532700";33475;35057
"26163533000";50712;38250
"26163533100";54967;28750
"26163533200";47581;28571
"26163533300";46726;43988
"26163533400";39093;17056
"26163533600";41281;26250
"26163533800";38070;30705
"26163533900";65139;44901
"26163534100";47244;35708
"26163534200";49469;30977
"26163534300";129654;43571
"26163534400";37827;22241
"26163534700";47666;35577
"26163534800";31299;27284
"26163535000";66451;52232
"26163535100";33542;29474
"26163535200";44895;20511
"26163535300";45902;36226
"26163535600";54538;37250
"26163535700";41285;33077
"26163535800";43494;28182
"26163536100";36846;28943
"26163536200";46681;34595
"26163536300";59987;47549
"26163536400";44511;35176
"26163536500";41046;29310
"26163536600";39124;29491
"26163536700";50891;40714
"26163536800";39574;26627
"26163536900";44304;35590
"26163537000";39610;34375
"26163537100";37013;32663
"26163537200";38773;30789
"26163537300";53075;45319
"26163537500";68869;31814
"26163537600";49068;30932
"26163537700";56494;33724
"26163537800";29209;21681
"26163538100";105979;87250
"26163538200";158460;137987
"26163538300";70946;36563
"26163538400";128251;105109
"26163538500";65902;50484
"26163538600";61754;51171
"26163538700";59963;41442
"26163538800";55862;44648
"26163538900";78353;53315
"26163539000";40593;36607
"26163539100";65906;56894
"26163539200";47238;38567
"26163539300";71085;56333
"26163539400";53236;45929
"26163539500";66621;46939
"26163539600";79486;58924
"26163539700";45372;33511
"26163540100";38365;26303
"26163540200";46677;32750
"26163540300";59828;39855
"26163540400";38488;23077
"26163540500";48691;42120
"26163540600";72979;73177
"26163540700";65784;37661
"26163540800";61900;54315
"26163540900";57153;48068
"26163541000";51259;37544
"26163541100";41488;28382
"26163541200";30180;24180
"26163541300";56076;49089
"26163541400";61507;45735
"26163541500";53731;37307
"26163541700";34869;33592
"26163541800";47647;34815
"26163542100";44775;35633
"26163542200";48861;40523
"26163542300";35306;22023
"26163542400";57269;39850
"26163542500";67577;51115
"26163542600";48953;39702
"26163542900";82888;77176
"26163543000";101857;88347
"26163543100";85455;64423
"26163543200";52466;41507
"26163543300";72209;64125
"26163543400";57513;55518
"26163543500";29661;20083
"26163543700";33332;27700
"26163543900";27804;27602
"26163544000";52690;36901
"26163544100";41794;29596
"26163544200";41519;26786
"26163544300";37964;40989
"26163544800";46099;37150
"26163545100";29815;16563
"26163545200";26472;25240
"26163545500";38343;25068
"26163545600";40022;31656
"26163545700";34003;26726
"26163545800";65211;30183
"26163545900";44377;32083
"26163546000";37880;33379
"26163546100";49965;39375
"26163546201";60630;47320
"26163546301";77913;58476
"26163546600";52358;33438
"26163546700";46010;42257
"26163547000";43751;37920
"26163547100";49386;38494
"26163547200";35679;28306
"26163985100";53449;41875
"26163985300";74891;NA
