"GEOID";"NAME";"Population"
"26163530400";"Census Tract 5304, Wayne County, Michigan";1730
"26163531500";"Census Tract 5315, Wayne County, Michigan";2692
"26163532400";"Census Tract 5324, Wayne County, Michigan";1532
"26163534100";"Census Tract 5341, Wayne County, Michigan";2010
"26163534400";"Census Tract 5344, Wayne County, Michigan";1829
"26163537100";"Census Tract 5371, Wayne County, Michigan";1832
"26163507000";"Census Tract 5070, Wayne County, Michigan";2901
"26163501600";"Census Tract 5016, Wayne County, Michigan";1999
"26163506300";"Census Tract 5063, Wayne County, Michigan";2138
"26163506700";"Census Tract 5067, Wayne County, Michigan";1485
"26163507200";"Census Tract 5072, Wayne County, Michigan";1132
"26163526300";"Census Tract 5263, Wayne County, Michigan";3486
"26163524800";"Census Tract 5248, Wayne County, Michigan";3135
"26163526100";"Census Tract 5261, Wayne County, Michigan";2757
"26163534300";"Census Tract 5343, Wayne County, Michigan";1397
"26163535100";"Census Tract 5351, Wayne County, Michigan";1842
"26163535700";"Census Tract 5357, Wayne County, Michigan";1572
"26163536100";"Census Tract 5361, Wayne County, Michigan";3189
"26163538200";"Census Tract 5382, Wayne County, Michigan";1990
"26163540100";"Census Tract 5401, Wayne County, Michigan";3509
"26163536200";"Census Tract 5362, Wayne County, Michigan";1910
"26163533500";"Census Tract 5335, Wayne County, Michigan";1106
"26163535500";"Census Tract 5355, Wayne County, Michigan";2751
"26163539300";"Census Tract 5393, Wayne County, Michigan";4234
"26163539500";"Census Tract 5395, Wayne County, Michigan";3145
"26163540300";"Census Tract 5403, Wayne County, Michigan";4443
"26163540700";"Census Tract 5407, Wayne County, Michigan";3704
"26163540900";"Census Tract 5409, Wayne County, Michigan";3534
"26163542600";"Census Tract 5426, Wayne County, Michigan";3138
"26163510600";"Census Tract 5106, Wayne County, Michigan";4258
"26163510700";"Census Tract 5107, Wayne County, Michigan";1794
"26163512200";"Census Tract 5122, Wayne County, Michigan";1272
"26163512400";"Census Tract 5124, Wayne County, Michigan";1304
"26163539100";"Census Tract 5391, Wayne County, Michigan";2024
"26163541800";"Census Tract 5418, Wayne County, Michigan";2514
"26163533400";"Census Tract 5334, Wayne County, Michigan";2701
"26163535400";"Census Tract 5354, Wayne County, Michigan";1598
"26163546800";"Census Tract 5468, Wayne County, Michigan";3545
"26163513200";"Census Tract 5132, Wayne County, Michigan";1725
"26163507500";"Census Tract 5075, Wayne County, Michigan";2232
"26163508000";"Census Tract 5080, Wayne County, Michigan";1176
"26163514500";"Census Tract 5145, Wayne County, Michigan";1308
"26163515200";"Census Tract 5152, Wayne County, Michigan";1576
"26163516100";"Census Tract 5161, Wayne County, Michigan";478
"26163516800";"Census Tract 5168, Wayne County, Michigan";971
"26163520200";"Census Tract 5202, Wayne County, Michigan";2233
"26163520300";"Census Tract 5203, Wayne County, Michigan";1476
"26163522000";"Census Tract 5220, Wayne County, Michigan";1865
"26163522300";"Census Tract 5223, Wayne County, Michigan";1282
"26163523300";"Census Tract 5233, Wayne County, Michigan";3915
"26163543900";"Census Tract 5439, Wayne County, Michigan";744
"26163546500";"Census Tract 5465, Wayne County, Michigan";2118
