"GEOID";"pop_white0";"pop_black0";"pop_asian0";"pop_other0";"pop_latino0";"p_white0";"p_black0";"p_asian0";"p_latino0";"p_other0"
"26163530400";49;1673;0;8;0;0.0283236994219653;0.967052023121387;0;0;0.0046242774566474
"26163531500";27;2534;71;43;17;0.0100297176820208;0.941307578008915;0.0263744427934621;0.00631500742942051;0.0159732540861813
"26163532400";74;1367;0;66;25;0.0483028720626632;0.892297650130548;0;0.0163185378590078;0.0430809399477807
"26163534100";4;1952;1;53;0;0.00199004975124378;0.971144278606965;0.000497512437810945;0;0.0263681592039801
"26163534400";35;1750;6;38;0;0.0191361399671952;0.956806998359759;0.00328048113723346;0;0.0207763805358119
"26163537100";9;1785;10;28;0;0.00491266375545852;0.974344978165939;0.00545851528384279;0;0.0152838427947598
"26163507000";12;2889;0;0;0;0.00413650465356774;0.995863495346432;0;0;0
"26163501600";419;1399;7;106;68;0.209604802401201;0.699849924962481;0.00350175087543772;0.0340170085042521;0.0530265132566283
"26163506300";22;2042;0;74;0;0.010289990645463;0.955098222637979;0;0;0.0346117867165575
"26163506700";32;1431;0;22;0;0.0215488215488215;0.963636363636364;0;0;0.0148148148148148
"26163507200";0;1052;0;33;47;0;0.929328621908127;0;0.0415194346289753;0.0291519434628975
"26163526300";594;399;0;1;2492;0.17039586919105;0.114457831325301;0;0.714859437751004;0.000286861732644865
"26163524800";48;2912;0;36;139;0.015311004784689;0.928867623604466;0;0.0443381180223286;0.0114832535885167
"26163526100";1673;258;0;114;712;0.606819006166123;0.0935799782372144;0;0.258251722887196;0.0413492927094668
"26163534300";5;1383;0;9;0;0.00357909806728704;0.989978525411596;0;0;0.00644237652111668
"26163535100";96;1724;0;22;0;0.0521172638436482;0.935939196525516;0;0;0.011943539630836
"26163535700";0;1486;0;43;43;0;0.94529262086514;0;0.02735368956743;0.02735368956743
"26163536100";76;2918;14;94;87;0.0238319222326748;0.915020382565067;0.00439009093759799;0.0272812793979304;0.0294763248667294
"26163538200";276;1620;0;53;41;0.138693467336683;0.814070351758794;0;0.0206030150753769;0.0266331658291457
"26163540100";78;3395;0;22;14;0.0222285551439156;0.967512111712739;0;0.00398974066685665;0.00626959247648903
"26163536200";0;1874;6;30;0;0;0.981151832460733;0.0031413612565445;0;0.0157068062827225
"26163533500";0;1087;19;0;0;0;0.982820976491863;0.0171790235081374;0;0
"26163535500";165;2586;0;0;0;0.0599781897491821;0.940021810250818;0;0;0
"26163539300";44;4127;0;40;23;0.0103920642418517;0.974728389230042;0;0.00543221539914974;0.00944733112895607
"26163539500";68;2979;0;98;0;0.0216216216216216;0.947217806041335;0;0;0.0311605723370429
"26163540300";0;4399;0;35;9;0;0.990096781453973;0;0.00202565833896016;0.0078775602070673
"26163540700";54;3604;0;18;28;0.0145788336933045;0.973002159827214;0;0.00755939524838013;0.00485961123110151
"26163540900";113;3380;0;18;23;0.0319750990379174;0.956423316355405;0;0.00650820599886814;0.00509337860780985
"26163542600";0;3110;0;28;0;0;0.991077119184194;0;0;0.00892288081580625
"26163510600";1509;746;1665;338;0;0.354391733208079;0.175199624236731;0.391028651949272;0;0.0793799906059183
